charger_name,street,zipcode,ports
Congress Hall - Tesla Destination,200 Congress Pl,08204,3
STATION ONE STATION ONE,1317 Beach Ave,08204,2
ICONA Diamond Beach,9701 Atlantic Ave,08260,2
Cape May Ferry Park,1200 Lincoln Blvd,08204,4
CREST OFFICE KELLER WILLIAMS,5501 New Jersey Ave,08260,1
CREST OFFICE KELLER WILLIAM,5501 New Jersey Ave,08260,2
Geoscape Solar - 305 E Rio,305 E Rio Grande Ave,08260,2
"The Candlelight Inn, a Select Registry Property - Tesla Destination",2310 Central Ave,08260,2
AVALON STATION 28TH ST,30 28th St E,08202,2
AVALON STATION 30TH ST,3000 Dune Dr,08202,1
Ocean City - City Hall,840 Central Ave,08226,2
CITY HALL 01 CITY HALL 01,840 Central Ave,08226,2
City of Ocean City,861 Asbury Ave,08226,2
VENTNORDPWCORNW VENTNOR DPW,101 N Cornwall Ave,08406,2
Dock's Oyster House - Tesla Destination,2405 Atlantic Ave,08401,3
Ocean Resort Casino - Tesla Destination,500 Boardwalk,08401,4
Borgata Hotel Casino & Spa - Tesla Destination,1 Borgata Way,08401,4
Golden Nugget Casino Hotel - Tesla Destination,Huron Ave & Brigantine Blvd,08401,3
Hidden Creek Golf Club - Tesla Destination,75 Asbury Rd,08234,2
Legacy Vacation Club Brigantine Beach - Tesla Destination,1400 Ocean Beach Ave,08203,4
California Apartments,400 Manor Drive,08201,4
Atlantic County Utilities Authority,6700 Delilah Rd,08234,4
EHT Health Park - Building 1200,2500 English Creek Ave,8234,2
ATLANTIC CITY STATION 01,6037 Black Horse Pike,08234,1
EHT Health Park - Building 400,2500 English Creek Ave,8234,2
Plaza at Cape May Courthouse - Tesla Supercharger,11 Court House South Dennis Road,08210,12
JR's Fresh Market - Tesla Supercharger,3121 Fire Road,08234,8
GREENLIFE GREENLIFE,6754 Washington Ave,08234,1
SHORE TOYOTA TOY- SHORE-DC,4236 E Black Horse Pike,08330,1
Wawa - Tesla Supercharger,51 Berkley Road,08066,8
ACME Woodbury #3970,631 Mantua Pike,08096,6
"Macerich Deptford Mall (Deptford, NJ)",1750 Deptford Center Rd,08096,4
Deptford Mall - Tesla Supercharger,1750 Deptford Center Road,08096,12
Walmart 4456 Somerdale,1 Coopertowne Blvd,08083,8
Farley Travel Plaza,20 Atlantic City Expy,08037,4
"Elwood, NJ - Tesla Supercharger",Milepost 21.3 on the Atlantic City Expressway,08217,8
"Malaga, NJ - Tesla Supercharger",450 Delsea Drive,08328,8
John Fenwick Travel Plaza - Tesla Supercharger,New Jersey Tpke Mile Marker 5.4,08067,8
Clara Barton Travel Plaza - Tesla Supercharger,N Stumpy Rd,08067,8
Nissan of Turnersville,3400 Route 42,08012,2
SALES CHARGER SHOWROOM,3400 E Black Horse Pike,08080,1
"Target T2181 (Sicklerville, NJ)",487 Cross Keys Rd,08081,4
Westville Town Center,165 Broadway,08093,2
The Promenade at Sagemore - Tesla Supercharger,500 NJ-73,08053,12
Walt Whitman Travel Plaza - Tesla Supercharger,700 (Mile Market 30.2) NJ Turnpike,08034,8
"Cherry Hill, NJ - Haddonfield Road - Tesla Supercharger",904 Haddonfield Road,08002,8
Crowne Plaza,2349 Marlton Pike West,08002,1
"Target 1085 - Cherry Hill, NJ",2137 NJ-38,08002,4
Wawa - Tesla Supercharger,2801 Route 73,08052,8
Wawa - Tesla Supercharger,2060 US-130,08016,8
Wawa - Tesla Supercharger,548 Monmouth Road,08510,8
Woodrow Wilson Service Plaza - Tesla Supercharger,75 NJ Turnpike,08620,8
Richard Stockton Travel Plaza - Tesla Supercharger,"New Jersey Turnpike, Post 58.7 South",08620,8
ShopRite of Mount Laurel,127 Ark Rd,08054,6
Richard Stockton Service Area - Tesla Supercharger,1400 NJ Turnpike,08054,8
The Shoppes at Cinnaminson,127 Route 130 S,08077,6
Wawa - Tesla Supercharger,570 Rancocas Road,08060,8
Barlow Chevrolet,6057 Route 130 S,08075,1
WALMART EVSE BURLINGTON DCEC,2106 Mt Holly Rd,08016,1
QuickChek - Tesla Supercharger,315 Robbinsville-Allentown Road,08691,8
Hamilton Marketplace - Tesla Supercharger,425 Market Place Blvd,08691,6
Molly Pitcher Service Area - Tesla Supercharger,Mile Marker 71.7 New Jersey Turnpike,08512,8
NJCar Trenton,856 River Road,08628,3
New Jersey Coalition of Automotive Retailers,856 River Rd,08628,3
Wawa - Tesla Supercharger,Route 33 & Butcher Road,08831,8
"Simon - Quaker Bridge Mall (Lawrenceville, NJ)",150 QUAKERBRIDGE MALL,08648,4
Quaker Bridge Mall,3320 US Highway 1,08648,3
MainStreetNB - Tesla Supercharger,191 Grand Avenue,08902,10
QuickChek North Brunswick,1505 US Highway 1,08902,2
Walmart 3078 - East Brunswick NJ,290 NJ-18,08816,10
Wawa - Tesla Supercharger,656 Old Bridge Turnpike,08882,8
GATEWAY KIA NB ABB STATION 1,720 Carolier Ln,08902,1
Wawa - Tesla Supercharger,1453 Route 18 South,08853,8
Acme Nissan,2050 US Highway 130,08852,2
Joyce Kilmer Service Area - Tesla Supercharger,Mile Marker 78 New Jersey Turnpike North,08816,8
Brunswick Square - Tesla Supercharger,755 State Route 18,08816,16
Holiday Inn Express & Suites Tower Center,4 Tower Center Blvd,08816,1
NEW CHARGERS FRONT 3,180 US-202,08822,1
NEW CHARGERS SIDE LV3,180 US-202,08822,1
Wawa - Tesla Supercharger,20 NJ-31,08822,8
Wawa - Tesla Supercharger,580 US-1,08817,8
Wawa - Tesla Supercharger,580 Union Ave,08807,8
Bridgewater Nissan,1400 Route 22,08807,3
Rutgers University - RUNet Field Offices,63 Rd 1,08817,1
SHERATON EDISON DC02 FAST 100,125 Raritan Center Pkwy,08837,1
MERCEDES-BENZ O CP STATION,135 NJ-31,08822,1
Menlo Park Mall,55 Parsonage Rd,08837,6
Menlo Park Mall - Tesla Supercharger,55 Parsonage Rd.,08837,8
"Target T1224 - Bridgewater, NJ",119 Promenade Blvd,08807,4
GLOBAL AUTOMALL GLOBAL CH1,1099 US-22,07060,1
North Plainfield Nissan,545 Route 22 W,07060,2
WILLIAMSHD DCFAST HOG,1100 US-22,08833,1
Dewey Meadow Shopping Center - Tesla Supercharger,415 King George Road,07920,8
Livingston Mall,112 Eisenhower Pkwy,07039,3
Nissan World of Denville,3057 Route 10,07834,2
GATEWAYDEN ABB STATION 01,3101 NJ-10,07834,1
GARDEN STATE DCFAST HOG,1775 NJ-10,07950,1
Wawa - Tesla Supercharger,350 New Road,07054,8
"Lener Denville Square (Denville, NJ)",28 West Main Street,07834,4
Boonton ACME Shopping Center - Tesla Supercharger,550 Myrtle Avenue,07005,10
Rockaway Town Plaza - Tesla Supercharger,395 Mount Hope Avenue,07866,12
Holiday Inn - Budd Lake,1000 International Dr,07828,1
Columbia NJ Shell,25 US-46,07832,2
Delaware Water Gap Travel Plaza - Tesla Supercharger,19 Simpson Road,07832,8
MB OF NEWTON FAST CHARGER,92 Hampton House Rd,07860,1
Wawa - Tesla Supercharger,1 NJ-15,07822,8
FSHYUNDAI PUBLIC LEVEL 3,500 NJ 23,07461,1
Station Plaza Parking Garage,50 Yard Ave,8609,7
Firehouse Lot 3,1st St & Sloan St,7079,3