county_name,traffic_count,year
Atlantic,1260285,2020
Bergen,1857541,2020
Burlington,1749134,2020
Camden,1529413,2020
Cape May,534729,2020
Cumberland,753309,2020
Essex,909423,2020
Gloucester,1436229,2020
Hudson,902837,2020
Hunterdon,687662,2020
Mercer,1868721,2020
Middlesex,3059741,2020
Monmouth,1411496,2020
Morris,1692214,2020
Ocean,1165784,2020
Passaic,1605781,2020
Salem,245594,2020
Somerset,732764,2020
Sussex,354208,2020
Union,837536,2020
Warren,435080,2020
Atlantic,1687155,2019
Bergen,3528311,2019
Burlington,1872808,2019
Camden,1697126,2019
Cape May,1224925,2019
Cumberland,784281,2019
Essex,1691709,2019
Gloucester,1261383,2019
Hudson,985756,2019
Hunterdon,1001893,2019
Mercer,2323552,2019
Middlesex,3179531,2019
Monmouth,1963631,2019
Morris,1653945,2019
Ocean,1755022,2019
Passaic,740910,2019
Salem,300874,2019
Somerset,1430193,2019
Sussex,476005,2019
Union,1942126,2019
Warren,293984,2019
Atlantic,1643923,2018
Bergen,2388827,2018
Burlington,2270691,2018
Camden,1802437,2018
Cape May,1467839,2018
Cumberland,1121004,2018
Essex,1458744,2018
Gloucester,1110850,2018
Hudson,1214479,2018
Hunterdon,1164856,2018
Mercer,1947654,2018
Middlesex,2700808,2018
Monmouth,3305114,2018
Morris,1557785,2018
Ocean,2777408,2018
Passaic,1854708,2018
Salem,394735,2018
Somerset,1038080,2018
Sussex,555547,2018
Union,1329993,2018
Warren,765610,2018
Atlantic,2173258,2017
Bergen,2454631,2017
Burlington,2914878,2017
Camden,2571573,2017
Cape May,1193566,2017
Cumberland,1174718,2017
Essex,1714436,2017
Gloucester,1957781,2017
Hudson,1000789,2017
Hunterdon,1647377,2017
Mercer,2577339,2017
Middlesex,3973240,2017
Monmouth,1828150,2017
Morris,3812159,2017
Ocean,1784130,2017
Passaic,1553851,2017
Salem,325847,2017
Somerset,2475388,2017
Sussex,557331,2017
Union,2496122,2017
Warren,429895,2017
Atlantic,1965118,2016
Bergen,2688524,2016
Burlington,1798584,2016
Camden,1854059,2016
Cape May,846881,2016
Cumberland,1086136,2016
Essex,1122454,2016
Gloucester,1631427,2016
Hudson,535525,2016
Hunterdon,1076804,2016
Mercer,2960595,2016
Middlesex,3404468,2016
Monmouth,2015882,2016
Morris,2148737,2016
Ocean,1988209,2016
Passaic,1570614,2016
Salem,376194,2016
Somerset,1391846,2016
Sussex,679328,2016
Union,1215085,2016
Warren,858205,2016
Atlantic,1565097,2015
Bergen,2789063,2015
Burlington,2535764,2015
Camden,2950785,2015
Cape May,656396,2015
Cumberland,871221,2015
Essex,2632559,2015
Gloucester,1716655,2015
Hudson,1337451,2015
Hunterdon,1428492,2015
Mercer,2655957,2015
Middlesex,2440363,2015
Monmouth,2458858,2015
Morris,4141018,2015
Ocean,1454508,2015
Passaic,2608980,2015
Salem,403954,2015
Somerset,1400200,2015
Sussex,532675,2015
Union,3911784,2015
Warren,983745,2015
Atlantic,1131365,2014
Bergen,4611653,2014
Burlington,2343548,2014
Camden,1563775,2014
Cape May,519463,2014
Cumberland,625358,2014
Essex,878014,2014
Gloucester,1549725,2014
Hudson,690345,2014
Hunterdon,1284307,2014
Mercer,2052285,2014
Middlesex,4414960,2014
Monmouth,1633961,2014
Morris,2821864,2014
Ocean,1632897,2014
Passaic,1070802,2014
Salem,230826,2014
Somerset,2087060,2014
Sussex,476273,2014
Union,1170029,2014
Warren,628419,2014
Atlantic,1414145,2013
Bergen,2444072,2013
Burlington,2228765,2013
Camden,2702087,2013
Cape May,440189,2013
Cumberland,527884,2013
Essex,658459,2013
Gloucester,1835786,2013
Hudson,647252,2013
Hunterdon,1297369,2013
Mercer,2893455,2013
Middlesex,2619205,2013
Monmouth,1668885,2013
Morris,1762674,2013
Ocean,2109017,2013
Passaic,1366542,2013
Salem,281969,2013
Somerset,1397488,2013
Sussex,495539,2013
Union,995430,2013
Warren,748451,2013
Atlantic,1350150,2012
Bergen,1796960,2012
Burlington,3299112,2012
Camden,2521030,2012
Cape May,573706,2012
Cumberland,933431,2012
Essex,2371925,2012
Gloucester,1220807,2012
Hudson,1026046,2012
Hunterdon,1051665,2012
Mercer,2150209,2012
Middlesex,2650788,2012
Monmouth,3254021,2012
Morris,834734,2012
Ocean,1488881,2012
Passaic,2002979,2012
Salem,532558,2012
Somerset,1399510,2012
Sussex,766455,2012
Union,1525791,2012
Warren,656837,2012